//This text file contains all of the data for the fire enemies in level 3 in the format:
//X,Y,difficulty
//Below cave entrance
3220,375,3
3280,375,3
3340,375,3
3400,375,3
3460,375,3
3520,375,3
3580,375,3
3640,375,3
3700,375,3
3760,375,3
3820,375,3
3880,375,3
3940,375,3
4000,375,3
4060,375,3
4120,375,3
4180,375,3
4240,375,3
3540,375,3
4300,375,3
//Below disappearing platforms inside cave
7700,345,3
7300,345,3
7800,345,3
7700,345,3
7900,345,3
7400,345,3
7500,345,3
8000,345,3
7600,345,3
8100,345,3
8200,345,3
8300,345,3
8400,345,3
8500,345,3
8600,345,3
8700,345,3
8800,345,3
8900,345,3
9000,345,3
9100,345,3
9200,345,3
